block,parcel,final_price,Prelimiry Title Search,offer_made,offer_accepted,Closed,rejected,Approved for Condemnation,Assigned to Attorney,Petition Filed,Commissioners Hearing,Order Vesting Title,final_title,Assigned to Relocation,Vacated,Assigned for Demolition,removed
1,39,3000,11/24/69,5/13/70,,5/27/70,,,,,,5/25/70,5/25/70,5/25/70,4/27/70,,
1,40,500,11/24/69,11/28/69,,2/23/70,,,,,,2/25/70,2/25/70,,,,
1,41,,,,,,,,,,,,,,,,
1,42,500,11/24/69,2/16/71,,3/30/71,,,,,,3/25/71,3/30/71,,,,
1,43,1575,2/12/70,5/19/70,,6/17/70,,,,,,6/17/70,6/17/70,,,,
1,44,,,,,,,,,,,,,,,,
1,45,1500,,7/13/70,,8/4/70,,,,,,8/5/70,8/5/70,,,,
1,46,14300,11/25/69,5/19/70,,8/11/70,,,,,,8/10/70,8/10/70,8/10/70,9/4/70,10/5/70,12/17/70
1,47,21000,11/10/69,11/3/69,,11/14/69,,,,,,11/14/69,11/14/69,11/14/69,2/14/72,5/31/72,6/22/72
1,48,5000,11/20/69,9/21/70,,,,10/12/70,12/6/71,,,5/27/75,5/29/75,5/29/75,,,
1,49,5700,5/5/69,3/26/69,,6/4/69,,,,,,6/12/69,6/12/69,6/12/69,8/4/70,8/12/70,9/10/70
1,50,17000,9/15/69,8/29/69,,12/31/69,,,,,,12/31/69,12/31/69,12/31/69,,6/29/72,7/14/72
1,51,11000,11/24/69,10/22/69,,12/23/71,,,,,,12/23/71,12/23/71,12/23/71,,6/29/72,7/17/72
2,1,49300,2/6/74,3/23/76,3/23/76,,,,,,,3/29/76,4/2/76,,,,
2,2,48150,2/6/74,3/23/76,3/23/76,,,,,,,3/29/76,4/2/76,4/5/76,,,
